source_ip,destination_ip,source_port,destination_port,protocol,bytes,is_anomaly
247.175.18.67,194.235.136.100,41798,58370,UDP,1092,0
45.117.161.222,161.207.30.166,57861,2060,UDP,261,0
120.163.170.140,140.52.5.206,4969,49585,TCP,1180,0
118.217.41.125,57.223.216.166,56539,50929,UDP,225,0
225.215.18.177,177.248.141.99,17847,50564,TCP,950,1
126.76.224.228,207.32.229.184,10532,65055,UDP,387,0
133.40.81.155,155.234.227.53,49363,8218,TCP,1308,0
175.199.51.101,96.121.76.158,55179,34480,TCP,501,1
54.203.232.64,170.78.150.152,16090,15193,UDP,604,0
10.11.184.166,187.55.17.186,25090,30825,UDP,744,0
43.24.240.202,221.176.145.213,23988,20134,UDP,1037,1
244.48.136.142,227.176.24.89,3235,54114,UDP,1185,0
226.103.125.162,211.142.100.76,13752,40712,TCP,556,1
222.2.5.237,219.112.124.210,3838,9368,TCP,137,0
240.175.204.175,118.122.183.53,626,42540,TCP,357,1
194.52.172.200,208.228.155.32,29731,7635,UDP,283,0
61.248.96.242,6.110.238.97,2803,33666,TCP,821,1
106.17.241.92,152.209.31.43,54685,24876,TCP,1057,0
42.158.117.49,203.240.139.193,8329,43529,TCP,805,0
20.34.2.147,174.69.185.65,10457,5675,TCP,1320,0
84.59.237.193,149.2.112.6,25898,22808,TCP,1242,1
3.93.94.177,142.124.126.72,9172,48251,UDP,940,0
233.196.216.219,252.247.189.19,30763,62297,UDP,455,0
142.15.169.27,246.125.127.23,4843,49757,TCP,686,0
66.93.16.191,13.54.135.192,9684,56468,TCP,64,1
117.20.152.7,125.236.28.152,20702,22125,TCP,1309,1
181.46.70.180,160.66.136.95,18374,58837,UDP,854,1
178.68.240.248,59.20.88.137,7216,38394,UDP,1327,0
29.1.159.34,235.93.151.95,59979,56671,TCP,82,1
85.42.120.66,216.134.223.147,10409,50182,UDP,493,0
66.255.236.228,1.180.210.91,49582,6930,TCP,756,1
160.23.128.165,254.102.206.238,56082,8058,UDP,324,1
200.85.1.3,134.106.186.159,26371,21176,UDP,710,1
171.213.243.179,156.41.85.7,50846,41504,TCP,597,1
99.134.108.134,189.251.119.107,346,17526,UDP,1479,1
108.93.113.240,189.164.242.95,17973,19590,TCP,421,1
179.241.44.199,137.107.132.86,12845,62273,UDP,1258,1
204.177.49.226,22.1.67.18,3882,42984,UDP,43,1
78.147.237.41,249.178.119.76,64491,48791,UDP,464,0
188.170.193.250,10.80.34.53,50027,10249,UDP,332,0
75.109.16.166,167.61.44.246,50925,7285,TCP,249,0
53.66.56.183,191.63.11.245,8439,33058,TCP,1138,0
98.228.246.33,178.178.196.193,5517,50679,UDP,695,1
252.232.205.237,252.203.177.236,20646,58510,TCP,852,0
246.180.123.208,90.20.48.3,35647,13527,TCP,745,0
131.222.74.255,227.132.10.89,50718,11357,TCP,1238,1
194.80.231.118,138.185.62.49,22069,22481,UDP,1496,1
95.239.42.126,42.147.120.159,51015,34707,TCP,1228,0
111.198.164.98,166.243.131.157,7716,11141,UDP,1436,1
47.163.175.80,3.8.127.116,55801,55555,UDP,87,1
0.148.230.218,42.188.12.165,48748,61235,UDP,1042,0
134.116.146.184,92.70.212.242,56969,48948,TCP,1163,1
76.27.104.19,203.171.3.212,49798,10482,UDP,1421,1
25.160.43.86,122.163.134.34,58467,22541,UDP,111,0
213.228.88.14,79.249.62.84,5186,41248,TCP,8,1
185.3.166.117,126.251.109.151,24503,4169,TCP,5,0
90.1.111.209,11.129.211.175,63097,33186,TCP,688,1
251.118.233.30,208.111.33.110,3787,35467,UDP,1435,0
61.225.74.69,10.119.239.172,31929,11689,UDP,1475,1
48.94.215.110,239.115.196.171,57952,4728,TCP,188,1
72.139.51.175,15.237.171.208,59562,43532,TCP,84,1
43.208.59.59,222.176.128.253,32156,56550,UDP,179,1
31.139.25.186,39.236.153.136,56517,57435,UDP,1045,1
251.93.246.222,16.170.117.104,32385,10998,TCP,1186,1
182.158.44.116,64.117.119.151,16093,47033,TCP,1188,1
7.48.131.144,170.83.245.237,24017,12268,TCP,435,0
243.92.172.39,21.164.197.81,47347,30489,TCP,1275,0
136.133.57.87,14.171.128.79,56927,818,TCP,1048,1
93.232.221.89,224.250.125.241,23335,33888,TCP,482,0
55.15.137.83,124.144.254.175,39273,30903,TCP,1375,0
30.150.86.17,164.136.29.169,47657,32144,TCP,1077,1
83.50.127.55,129.34.90.231,23820,30211,UDP,858,1
2.164.123.206,225.42.86.206,31989,56967,UDP,779,1
59.219.27.158,111.81.82.104,42610,17960,TCP,1000,0
213.216.119.244,141.167.176.56,34662,53468,UDP,1326,1
239.116.7.184,132.69.235.116,41675,57948,UDP,513,1
132.194.76.182,144.80.162.191,17735,39687,TCP,544,1
11.126.140.203,28.13.0.171,10270,46955,TCP,1192,1
183.218.68.107,75.62.213.44,9443,54107,TCP,645,0
126.251.115.16,23.8.9.232,13815,12326,UDP,256,0
50.168.213.32,18.3.13.13,53987,18069,TCP,1160,0
60.33.198.71,85.151.68.210,43041,36074,UDP,961,1
47.102.210.196,103.55.231.155,4636,26330,TCP,109,1
1.3.97.71,114.142.63.172,16996,63504,UDP,636,1
89.213.64.113,30.112.155.51,46473,21697,TCP,1161,1
239.38.66.185,47.16.16.143,1641,34761,UDP,1109,1
92.118.199.176,174.37.214.185,56823,31492,TCP,808,1
213.248.139.129,30.219.209.17,1884,47477,TCP,185,0
17.3.96.192,69.202.137.70,62537,48491,UDP,213,1
61.84.78.131,123.114.59.39,15282,40144,UDP,720,0
135.199.10.152,133.68.131.39,31634,9758,UDP,346,0
246.69.38.211,190.183.91.113,37288,44810,TCP,813,1
74.71.80.147,93.83.122.14,45809,61990,TCP,1142,1
199.87.15.233,189.81.51.243,27312,6783,TCP,1113,1
76.97.33.245,144.80.35.66,20420,33367,UDP,13,0
175.127.70.127,102.149.242.14,56967,6930,UDP,1225,1
191.148.190.170,224.92.133.190,38022,65027,TCP,825,0
163.184.227.136,176.238.201.144,9063,29821,UDP,1028,1
247.161.207.173,188.123.180.98,65050,256,TCP,360,0
4.101.113.165,211.167.248.161,61747,40927,TCP,102,0
193.87.245.16,240.238.211.18,58843,5233,TCP,22,1
216.82.148.221,28.54.53.220,21576,19671,UDP,1357,0
108.63.20.86,120.151.135.207,4603,32945,TCP,292,0
75.44.22.90,239.189.241.224,19263,30178,UDP,305,1
12.120.158.121,39.78.90.232,18707,63319,TCP,766,0
138.207.99.247,60.191.97.0,3627,14268,TCP,1180,0
104.7.185.191,127.15.216.34,43748,45698,UDP,1479,1
241.78.98.123,205.169.155.23,36986,9556,UDP,1444,1
153.5.183.101,166.123.110.132,3051,65217,TCP,444,0
67.239.20.166,176.43.75.128,30978,41848,TCP,74,0
188.195.215.129,96.196.33.117,29514,23974,UDP,1430,0
8.12.7.244,204.234.164.105,3949,17456,TCP,447,1
109.173.204.230,132.137.163.107,30693,17324,UDP,284,0
24.159.115.49,67.128.109.104,11049,20517,TCP,1310,1
184.66.78.143,70.52.132.211,44929,45674,TCP,1251,1
83.197.105.51,190.154.10.42,10002,63565,TCP,1094,0
40.244.150.75,170.199.31.156,20111,55922,TCP,954,0
220.190.147.199,66.108.25.112,26236,17358,UDP,438,0
232.156.108.28,73.111.131.139,22985,30375,UDP,121,1
49.125.111.92,79.159.51.120,36738,40194,TCP,764,1
248.42.52.86,67.222.213.166,34657,54724,TCP,1034,0
11.210.47.194,24.49.176.123,33111,48672,TCP,750,0
65.29.65.105,217.183.208.197,32535,39254,TCP,558,0
87.253.214.141,71.238.156.73,21575,65277,UDP,87,0
126.233.214.84,155.226.235.43,54415,41283,UDP,326,1
41.253.207.98,250.6.4.247,37463,42227,UDP,675,1
67.142.92.92,120.133.248.135,28601,6543,TCP,258,1
231.251.139.220,253.74.140.128,60067,29189,UDP,1439,0
30.177.118.112,114.36.43.32,38759,3233,UDP,579,0
205.47.212.70,175.234.255.36,42078,31446,UDP,345,0
45.18.28.122,168.94.72.115,10726,16454,TCP,951,0
179.79.179.29,69.166.164.90,5187,4123,TCP,171,1
221.16.124.211,192.169.222.158,4256,32744,UDP,570,1
150.198.108.202,15.249.222.228,59918,34470,TCP,341,1
191.242.113.214,219.220.219.158,35352,21922,UDP,16,0
191.76.138.35,35.93.254.251,65500,50033,UDP,548,0
36.57.180.120,123.59.112.104,13845,54598,TCP,584,0
119.80.65.57,35.43.219.218,8985,81,TCP,457,1
80.82.200.95,161.234.24.198,1798,46602,UDP,1008,1
136.214.49.74,189.247.6.31,47822,16272,TCP,503,1
165.126.71.228,123.78.186.22,13283,4998,UDP,960,1
130.184.125.62,178.191.8.154,65183,7253,TCP,1480,1
107.47.45.98,183.108.38.172,25513,33305,UDP,1082,1
253.164.209.176,176.202.168.200,61494,6739,UDP,1136,1
34.224.42.235,218.66.150.107,35174,21729,UDP,986,0
194.188.223.144,39.66.247.134,12742,2567,UDP,892,0
247.160.79.88,84.198.204.210,31034,51469,UDP,842,1
120.225.30.79,25.80.29.166,55296,14829,TCP,1372,0
130.123.129.109,143.18.38.156,28231,20893,TCP,1014,0
253.6.191.21,108.93.217.14,54366,44952,TCP,912,0
23.187.63.216,79.218.196.45,38130,28149,TCP,1410,0
225.10.146.180,107.241.105.24,41869,40332,TCP,102,0
161.84.167.216,18.63.226.33,40761,18688,UDP,1370,0
152.24.145.1,6.16.47.235,32908,7303,TCP,455,1
53.151.56.243,106.218.79.249,7036,422,UDP,1004,1
133.223.225.255,241.74.17.142,27426,59183,UDP,228,0
26.227.251.9,238.148.11.218,61689,19534,TCP,90,1
2.6.197.231,178.47.53.48,54850,48435,TCP,1384,0
125.45.106.67,234.7.57.30,56549,6023,TCP,1395,1
155.250.130.250,32.159.220.218,8558,35778,TCP,1227,1
42.73.32.127,3.15.87.227,50695,209,UDP,364,0
157.194.163.187,64.138.236.29,564,11943,TCP,1500,0
227.55.185.35,67.170.178.122,45885,17549,UDP,573,0
20.188.222.108,130.139.234.135,30287,30522,TCP,776,1
200.129.196.71,254.101.192.36,13987,48557,TCP,186,0
175.59.255.172,219.211.41.184,48833,34348,TCP,900,0
203.209.147.143,255.193.1.218,6983,15539,TCP,1169,0
134.161.238.62,144.67.92.120,64247,27348,UDP,598,1
160.162.112.76,168.58.176.208,7097,40281,TCP,63,0
102.100.55.34,121.187.30.2,23881,11339,UDP,1224,1
202.29.141.131,204.214.71.254,63055,42758,TCP,959,0
93.36.125.170,244.111.253.76,54343,32093,TCP,441,0
197.55.167.66,246.255.109.22,48016,35270,UDP,1338,0
165.39.238.69,90.238.164.102,44248,12255,TCP,1466,0
146.151.148.167,52.117.208.172,61502,24282,TCP,1033,0
221.96.238.106,75.231.24.218,21373,56080,UDP,441,1
152.215.139.58,1.69.234.120,1189,2238,TCP,756,1
59.40.14.224,177.85.237.212,39673,32535,TCP,204,1
132.230.63.110,110.221.75.241,17219,50225,TCP,384,0
58.228.29.199,109.81.220.251,52251,11273,TCP,707,1
160.178.125.227,140.94.89.158,11334,11202,UDP,809,0
237.174.76.182,166.85.246.182,36430,9691,UDP,657,1
101.111.69.189,54.168.154.152,10081,63467,TCP,567,1
149.113.143.229,201.217.221.100,51870,40298,TCP,1248,0
181.121.202.105,112.248.77.36,56800,26965,TCP,182,1
27.179.66.226,179.191.209.119,3189,14061,UDP,277,1
28.144.60.8,9.247.169.117,65315,14467,UDP,331,0
231.124.148.37,76.194.138.210,36548,48554,UDP,1246,0
35.149.150.238,73.108.185.214,39578,52650,TCP,607,0
90.81.224.0,10.183.224.76,52954,17616,UDP,1155,1
225.83.111.222,225.138.99.60,26235,41116,UDP,910,0
210.100.204.6,9.214.24.180,3086,18478,TCP,802,0
148.137.120.26,15.152.161.67,11650,22466,TCP,1253,0
71.135.11.174,204.237.175.117,57772,6691,UDP,32,1
198.66.205.100,230.163.7.186,26360,58977,UDP,1469,1
135.158.53.213,251.119.41.161,50193,24724,TCP,297,0
71.159.183.167,127.176.56.27,39067,44779,TCP,890,1
115.145.196.167,154.94.37.67,33032,33810,TCP,479,1
223.107.205.208,237.164.156.247,62940,20639,UDP,502,0
210.41.119.189,109.110.211.244,57129,14636,UDP,1411,1
54.204.65.15,160.216.245.45,56368,32447,UDP,1106,0
129.4.210.101,225.93.7.138,39420,27292,UDP,601,0
143.136.4.211,240.178.180.9,38596,21743,UDP,568,0
82.182.239.179,206.153.191.121,45401,51940,UDP,515,1
6.247.205.209,198.194.66.67,55154,62221,TCP,319,1
144.5.98.120,112.79.176.177,34776,17830,UDP,1088,0
0.156.133.77,167.189.246.232,29575,24410,UDP,924,0
119.205.246.14,109.20.167.96,59026,15501,UDP,303,1
108.136.121.249,103.148.175.88,6729,23984,UDP,1225,1
253.116.23.255,71.113.144.167,20498,15368,UDP,1036,1
129.192.0.252,33.114.233.146,44155,50900,UDP,770,0
88.92.33.32,24.144.226.137,28618,49644,UDP,549,0
180.228.123.255,100.194.39.72,52762,65327,UDP,786,0
3.138.5.171,23.151.82.76,48731,49251,TCP,662,1
27.188.50.58,190.133.100.123,55180,28548,TCP,1323,1
141.146.81.92,150.13.185.114,38748,51867,TCP,624,0
33.33.121.118,226.28.49.52,33351,11084,TCP,992,1
123.244.197.173,203.162.19.68,26447,50344,TCP,176,0
55.217.111.222,225.44.109.242,55792,9649,TCP,832,0
28.219.72.131,60.210.201.138,47619,46607,TCP,785,1
22.70.201.230,8.193.158.31,60354,48022,UDP,558,1
44.131.150.31,102.164.141.57,55409,8526,TCP,10,1
23.193.34.26,226.244.114.61,125,22048,TCP,416,1
90.216.193.75,5.67.214.151,11284,58636,UDP,458,1
125.253.59.141,163.249.134.195,30952,41679,TCP,1342,0
143.35.63.153,223.200.14.175,55706,12594,TCP,1361,1
19.250.166.94,35.158.85.84,47518,31433,UDP,833,1
168.159.92.42,100.64.75.45,58189,51924,TCP,282,0
43.144.49.159,227.76.59.207,53961,65413,UDP,259,1
127.140.235.145,213.147.238.18,55284,16085,TCP,35,0
145.35.170.207,224.248.216.201,63478,32311,TCP,1191,1
53.137.237.248,28.140.140.133,42212,4355,TCP,107,1
235.127.155.43,62.254.53.54,29179,11741,TCP,1351,1
169.146.172.86,200.111.18.208,50934,27196,TCP,371,0
61.51.235.75,167.230.146.204,8331,55979,UDP,105,0
5.192.149.179,66.233.118.189,21072,39129,TCP,686,1
160.9.54.177,202.54.131.71,45391,29736,UDP,634,1
130.42.60.88,89.234.50.58,23817,26383,TCP,518,1
169.150.100.120,105.87.173.126,51125,54528,TCP,1005,0
126.101.15.248,127.251.177.239,3659,19821,TCP,418,1
155.60.179.124,106.18.95.175,61555,52829,TCP,967,0
191.172.34.72,204.117.124.232,30054,14155,TCP,574,0
170.4.164.123,205.51.78.249,7846,39471,TCP,768,0
42.62.132.103,2.175.134.162,11391,22088,UDP,1338,0
68.120.116.32,186.85.238.0,54948,62270,TCP,66,1
183.22.248.220,153.167.220.198,10195,36670,TCP,1239,0
16.53.239.67,140.225.139.77,16456,18025,UDP,1110,0
37.120.130.8,168.26.145.105,11160,55887,UDP,509,0
102.52.16.236,23.58.53.43,43376,13124,TCP,156,0
216.33.85.13,253.88.223.51,58118,62500,TCP,1015,1
21.116.172.148,253.123.144.166,43926,53263,UDP,724,1
116.126.98.117,200.229.247.212,372,11384,TCP,886,1
41.36.110.126,120.121.171.137,17735,47054,TCP,1424,1
105.74.207.198,71.142.183.140,49960,16498,TCP,505,0
83.70.57.128,104.98.24.34,60269,23657,TCP,345,0
176.137.72.106,134.221.186.115,32952,30192,UDP,1457,0
88.193.240.245,14.237.234.15,34550,39597,TCP,1157,0
6.43.125.205,163.232.254.122,38781,10273,TCP,434,0
86.42.189.222,185.171.167.78,8909,22634,UDP,1256,0
43.17.251.117,69.225.183.166,31160,17605,UDP,1086,1
76.123.236.11,100.199.228.123,26734,55187,TCP,487,0
10.178.0.209,52.37.148.253,8714,7563,UDP,374,0
47.183.110.121,61.164.184.131,36648,58145,UDP,63,0
146.172.160.99,47.166.7.25,46151,63554,UDP,1256,1
181.124.187.111,132.1.222.183,18600,21920,UDP,741,1
115.19.151.29,119.212.27.231,44079,42903,UDP,718,1
24.191.254.56,89.206.92.224,62884,36001,UDP,449,0
112.110.0.203,105.136.104.144,17038,31693,TCP,1456,1
247.180.126.80,173.85.249.100,1009,33473,TCP,479,0
222.168.105.147,228.177.97.150,22359,42441,TCP,564,0
95.150.196.204,17.195.21.166,55562,35412,TCP,291,0
34.234.152.249,95.202.115.104,4554,1375,TCP,112,1
211.65.109.165,171.47.163.21,11105,56783,TCP,584,1
233.102.11.248,27.239.27.147,56600,17108,UDP,30,1
48.133.227.12,53.74.127.182,18374,36574,UDP,1027,0
74.38.222.159,70.55.75.144,29642,51399,UDP,1228,0
226.137.50.199,22.40.109.5,57209,55839,UDP,428,0
97.83.205.38,118.221.255.243,30281,24053,TCP,1023,1
65.233.1.214,190.189.245.109,10292,4715,TCP,1336,1
89.78.94.250,240.54.23.155,31606,5414,TCP,40,1
188.126.226.143,58.219.88.187,63524,41813,UDP,150,0
253.224.128.127,249.177.191.149,48036,11678,UDP,476,1
2.231.254.129,105.77.10.175,58989,11167,UDP,701,0
41.253.22.22,205.225.252.193,13777,62260,UDP,1475,1
74.111.82.84,186.217.226.139,18976,57524,UDP,1123,0
236.221.178.102,228.68.236.80,16490,25025,TCP,1413,1
155.118.26.197,195.223.211.172,22902,17630,TCP,1163,0
89.179.215.86,85.205.62.113,17123,49685,UDP,1406,1
202.149.85.108,120.176.252.102,7815,59436,UDP,19,0
57.119.94.248,251.100.172.242,5221,36019,TCP,1274,0
186.7.1.71,113.143.95.45,54398,3390,TCP,871,0
176.93.51.126,214.113.26.226,19136,39035,TCP,1171,0
74.5.239.214,129.119.207.25,23960,26250,TCP,1363,0
232.129.106.45,249.61.36.209,56468,36438,TCP,540,1
175.139.196.190,133.106.221.94,21247,55083,TCP,651,0
92.253.73.211,117.136.222.244,33540,5773,TCP,738,0
149.158.36.206,138.176.51.237,5884,56314,UDP,1058,1
215.240.48.196,249.250.72.22,39026,60632,UDP,413,1
113.81.161.78,221.54.216.166,57148,4823,TCP,431,1
63.190.160.59,135.137.155.136,28817,35995,TCP,1226,1
44.182.88.70,241.127.39.177,38600,26701,UDP,15,1
130.111.204.113,53.43.45.153,53358,52251,TCP,1232,0
249.216.202.111,4.137.188.213,63320,16858,TCP,247,0
160.133.179.171,149.62.228.238,9102,35140,UDP,650,1
170.95.215.120,245.147.31.212,58472,28177,TCP,1156,1
253.45.141.226,197.72.101.75,37393,58491,UDP,1495,1
58.151.167.25,139.15.62.246,58952,28532,TCP,265,0
241.51.19.109,16.11.206.24,10738,25815,TCP,1196,0
178.236.210.23,144.82.222.94,41535,35142,UDP,467,0
41.42.71.33,172.180.144.139,23286,61876,TCP,1389,1
191.227.239.184,36.82.118.148,53075,40329,TCP,193,1
87.236.42.217,26.247.135.8,7760,62907,TCP,965,0
82.4.192.247,141.85.105.41,65378,22905,TCP,874,0
102.83.43.105,173.2.226.176,26705,23993,TCP,745,1
236.218.13.158,68.68.99.80,45445,40901,UDP,329,0
250.43.157.235,10.74.88.155,36175,35787,TCP,1231,0
52.163.65.35,80.128.217.80,44533,45015,TCP,342,0
210.107.216.144,191.85.47.40,35251,64657,TCP,252,0
97.223.26.210,61.217.164.131,34451,21981,UDP,466,1
5.152.236.122,234.51.0.37,11737,32565,UDP,1101,1
242.171.58.241,247.234.241.230,62320,58645,UDP,402,0
211.159.86.206,127.253.13.228,26932,27774,TCP,1154,1
152.141.20.88,26.177.187.214,6731,52390,TCP,1273,1
165.208.134.216,176.105.107.75,48536,52844,TCP,1383,0
170.165.228.77,235.148.242.117,57453,40231,UDP,416,0
200.25.77.231,188.89.51.147,19025,9309,TCP,1111,0
10.91.86.34,76.182.255.232,45760,39503,UDP,873,1
53.53.81.67,238.241.96.98,60170,3547,TCP,1248,0
141.96.1.1,49.93.90.8,50815,6218,UDP,1013,0
49.41.69.34,237.109.66.125,54778,18158,UDP,1381,0
3.195.207.219,176.242.143.26,35213,44735,UDP,749,0
78.146.244.11,94.112.113.128,32963,64791,TCP,33,1
177.182.5.164,163.128.169.60,53630,20843,TCP,1303,1
234.48.187.157,172.176.64.235,56217,36037,UDP,1264,0
249.79.80.128,46.192.194.160,54883,29466,UDP,71,1
53.145.143.67,48.122.246.126,46860,10738,TCP,208,1
