,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
num_access_files,125000.0,0.0,512.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
num_outbound_cmds,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_host_login,125000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
is_guest_login,125000.0,0.0,1176.0,0.01,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
count,125000.0,0.0,10516627.0,84.13,14.0,114.54,13118.79,0.0,1.0,1.0,1.0,2.0,14.0,143.0,256.0,286.0,511.0,511.0
srv_count,125000.0,0.0,3467774.0,27.74,8.0,72.64,5277.18,0.0,1.0,1.0,1.0,2.0,8.0,18.0,40.0,158.0,491.01,511.0
serror_rate,125000.0,0.0,35563.42,0.28,0.0,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
srv_serror_rate,125000.0,0.0,35313.24,0.28,0.0,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
rerror_rate,125000.0,0.0,14998.87,0.12,0.0,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
srv_rerror_rate,125000.0,0.0,15152.03,0.12,0.0,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
same_srv_rate,125000.0,0.0,82601.8,0.66,1.0,0.44,0.19,0.0,0.0,0.01,0.03,0.09,1.0,1.0,1.0,1.0,1.0,1.0
diff_srv_rate,125000.0,0.0,7894.35,0.06,0.0,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.29,1.0,1.0
srv_diff_host_rate,125000.0,0.0,12163.67,0.1,0.0,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,1.0,1.0
dst_host_count,125000.0,0.0,22767585.0,182.14,255.0,99.22,9845.09,0.0,1.0,3.0,11.0,82.0,255.0,255.0,255.0,255.0,255.0,255.0
dst_host_srv_count,125000.0,0.0,14450511.0,115.6,63.0,110.7,12253.57,0.0,1.0,1.0,2.0,10.0,63.0,255.0,255.0,255.0,255.0,255.0
dst_host_same_srv_rate,125000.0,0.0,65137.12,0.52,0.51,0.45,0.2,0.0,0.0,0.0,0.01,0.05,0.51,1.0,1.0,1.0,1.0,1.0
dst_host_diff_srv_rate,125000.0,0.0,10377.25,0.08,0.02,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.56,1.0,1.0
dst_host_same_src_port_rate,125000.0,0.0,18566.98,0.15,0.0,0.31,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.84,1.0,1.0,1.0
dst_host_srv_diff_host_rate,125000.0,0.0,4071.84,0.03,0.0,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.19,0.52,1.0
dst_host_serror_rate,125000.0,0.0,35557.52,0.28,0.0,0.44,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_srv_serror_rate,125000.0,0.0,34812.65,0.28,0.0,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_rerror_rate,125000.0,0.0,14849.28,0.12,0.0,0.31,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,1.0
dst_host_srv_rerror_rate,125000.0,0.0,15033.92,0.12,0.0,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
last_flag,125000.0,0.0,2437925.0,19.5,20.0,2.29,5.26,0.0,11.0,15.0,17.0,18.0,20.0,21.0,21.0,21.0,21.0,21.0
attack_class,125000.0,0.0,71906.0,0.58,0.0,0.69,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
