,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
count,22500.0,0.0,1778452.0,79.04,8.0,128.56,16527.96,0.0,1.0,1.0,1.0,1.0,8.0,124.0,256.0,401.1,511.0,511.0
srv_count,22500.0,0.0,700856.0,31.15,6.0,89.13,7944.71,0.0,1.0,1.0,1.0,1.0,6.0,16.0,43.0,185.0,511.0,511.0
serror_rate,22500.0,0.0,2316.32,0.1,0.0,0.3,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
srv_serror_rate,22500.0,0.0,2333.02,0.1,0.0,0.3,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0
rerror_rate,22500.0,0.0,5365.31,0.24,0.0,0.42,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0
srv_rerror_rate,22500.0,0.0,5291.24,0.24,0.0,0.42,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,1.0,1.0,1.0
same_srv_rate,22500.0,0.0,16658.33,0.74,1.0,0.41,0.17,0.0,0.0,0.01,0.03,0.25,1.0,1.0,1.0,1.0,1.0,1.0
diff_srv_rate,22500.0,0.0,2114.45,0.09,0.0,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,1.0,1.0,1.0
srv_diff_host_rate,22500.0,0.0,2207.17,0.1,0.0,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.0,1.0
dst_host_count,22500.0,0.0,4361110.0,193.83,255.0,94.06,8847.7,0.0,1.0,6.0,20.0,120.0,255.0,255.0,255.0,255.0,255.0,255.0
dst_host_srv_count,22500.0,0.0,3166816.0,140.75,168.0,111.78,12494.2,0.0,1.0,1.0,3.0,15.0,168.0,255.0,255.0,255.0,255.0,255.0
dst_host_same_srv_rate,22500.0,0.0,13698.21,0.61,0.92,0.44,0.19,0.0,0.0,0.0,0.02,0.07,0.92,1.0,1.0,1.0,1.0,1.0
dst_host_diff_srv_rate,22500.0,0.0,2036.74,0.09,0.01,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.15,0.75,1.0,1.0
dst_host_same_src_port_rate,22500.0,0.0,2977.01,0.13,0.0,0.31,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.85,1.0,1.0,1.0
dst_host_srv_diff_host_rate,22500.0,0.0,442.47,0.02,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.41,1.0
dst_host_serror_rate,22500.0,0.0,2201.12,0.1,0.0,0.27,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0
dst_host_srv_serror_rate,22500.0,0.0,2238.21,0.1,0.0,0.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,1.0,1.0,1.0
dst_host_rerror_rate,22500.0,0.0,5250.78,0.23,0.0,0.39,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.0,1.0,1.0,1.0
dst_host_srv_rerror_rate,22500.0,0.0,5099.71,0.23,0.0,0.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,1.0,1.0,1.0
last_flag,22500.0,0.0,405405.0,18.02,20.0,4.27,18.24,0.0,2.0,9.0,12.0,17.0,20.0,21.0,21.0,21.0,21.0,21.0
attack_class,22500.0,0.0,21185.0,0.94,1.0,1.04,1.07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0
